zone_id,zone_label,zone_type,day_of_week,hour,demand_index,demand_bucket,surge_multiplier,weather,expected_net_per_hour_sgd,lat,lon
CBD_Raffles,CBD / Raffles Place,office,Mon,5,0.411,low,1.0,clear,14.45,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,6,0.765,moderate,1.0,clear,16.15,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,7,1.264,very_high,1.12,clear,18.88,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,8,1.521,very_high,1.26,clear,19.95,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,9,1.273,very_high,1.12,clear,18.93,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,10,0.83,moderate,1.0,clear,16.46,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,11,0.658,moderate,1.0,clear,15.64,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,12,0.755,moderate,1.0,clear,16.1,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,13,0.726,moderate,1.0,clear,15.97,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,14,0.509,low,1.0,clear,14.92,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,15,0.421,low,1.0,clear,14.5,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,16,0.641,moderate,1.0,clear,15.56,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,17,1.116,high,1.04,clear,17.95,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,18,1.548,very_high,1.27,clear,19.98,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,19,1.548,very_high,1.27,clear,19.98,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,20,1.116,high,1.04,clear,17.94,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,21,0.632,moderate,1.0,clear,15.51,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,22,0.356,low,1.0,clear,14.19,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,23,0.261,low,1.0,clear,13.74,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,0,0.238,low,1.0,clear,13.62,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,1,0.238,low,1.0,clear,13.62,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Mon,2,0.238,low,1.0,clear,13.62,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,5,0.42,low,1.0,clear,14.49,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,6,0.781,moderate,1.0,clear,16.23,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,7,1.291,very_high,1.13,clear,19.04,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,8,1.553,very_high,1.28,clear,20.01,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,9,1.3,very_high,1.14,clear,19.11,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,10,0.847,moderate,1.0,clear,16.55,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,11,0.672,moderate,1.0,clear,15.7,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,12,0.771,moderate,1.0,clear,16.18,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,13,0.742,moderate,1.0,clear,16.04,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,14,0.519,low,1.0,clear,14.97,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,15,0.43,low,1.0,clear,14.55,1.284,103.851
CBD_Raffles,CBD / Raffles Place,office,Tue,16,0.654,moderate,1.0,clear,15.62,1.284,103.851
